Category,Film,Nominee,Winner,Year,Rating_IMDB,Release_date,Rating_rtaudience,Rating_rtcritic,Oscarstat_totalnoms,Release_Q1,Release_Q2,Release_Q3,Release_Q4,Nom_BAFTA,Win_BAFTA,Nom_GoldenGlobe_comedy-leadacting,Win_GoldenGlobe_comedy-leadacting,Nom_GoldenGlobe_drama-leadacting,Win_GoldenGlobe_drama-leadacting,Nom_GoldenGlobe_supportingacting,Win_GoldenGlobe_supportingacting,Oscarstat_previousnominations_acting,Oscarstat_previouswins_acting,Oscarstat_previousnominee_acting,Oscarstat_previouswinner_acting,Nom_Oscar_bestfilm,Birthyear,Age,Age_[0-25],Age_[25-35],Age_[35-45],Age_[45-55],Age_[55-65],Age_[65-75] ,Age_[75+] ,Genre_action,Genre_adventure,Genre_biography,Genre_crime,Genre_comedy,Genre_drama,Genre_horror,Genre_fantasy,Genre_sci-fi,Genre_mystery,Genre_music,Genre_romance,Genre_history,Genre_thriller,Genre_war,Genre_sport,Genre_family,Genre_filmnoir,Genre_western,MPAA_rating,MPAA_G,MPAA_PG,MPAA_PG-13,MPAA_R,MPAA_NC-17,Nowin_Criticschoice,Win_Criticschoice,Nonom_Criticschoice,Nom_Criticschoice,Nowin_SAG_acting,Win_SAG_acting,Nonom_SAG_acting,Nom_SAG_acting,Nowin_SAG_bestcast,Win_SAG_bestcast,Nonom_SAG_bestcast,Nom_SAG_bestcast,Female,Nom_Criticschoice_ord,Nom_SAG_acting_ord,Nom_SAG_bestcast_ord,Win_Criticschoice_ord,Win_SAG_acting_ord,Win_SAG_bestcast_ord,Release,Age_ord
Actor,Pain and Glory,Antonio Banderas,,2020,7.6,2019-11-23,90,97,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1960,60,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,1,0,0,1,0,0,1,1,0,1,0,1,0,1,0,0,2,1,1,1,1,1,2,4
Actor,Once Upon a Time in Hollywood,Leonardo DiCaprio,,2020,7.7,2019-08-15,70,85,10,0,0,1,0,1,0,1,0,0,0,0,0,5,1,1,1,1,1974,46,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,0,2,2,2,1,1,1,3,3
Actor,Marriage Story,Adam Driver,,2020,8.1,2020-12-06,84,95,6,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1983,37,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,,0,1,0,0,0,1,0,0,1,1,0,0,1,1,0,1,0,0,2,2,1,1,1,1,4,2
Actor,Joker,Joaquin Phoenix,,2020,8.6,2019-10-03,88,68,11,0,0,0,1,1,1,0,0,1,1,0,0,4,0,1,0,1,1974,46,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,,0,0,0,1,0,0,1,0,1,0,1,0,1,1,0,1,0,0,2,2,1,2,2,1,4,3
Actor,The Two Popes,Jonathan Pryce,,2020,7.6,2019-12-12,89,89,3,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1947,73,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,1,1,1,1,4,5
Actress,Harriet,Cynthia Erivo,,2020,6.3,2020-02-13,97,73,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1987,33,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1,0,0,0,1,0,0,1,1,0,0,1,1,0,1,0,1,2,2,1,1,1,1,1,1
Actress,Marriage Story,Scarlett Johansson,,2020,8.1,2020-12-06,84,95,6,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,1,1984,36,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,,0,1,0,0,0,1,0,0,1,1,0,0,1,1,0,1,0,1,2,2,1,1,1,1,4,2
Actress,Little Women,Saoirse Ronan,,2020,8.1,2020-01-30,92,95,6,1,0,0,0,1,0,0,0,1,0,0,0,4,0,1,0,1,1994,26,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,,0,1,0,0,0,1,0,0,1,1,0,1,0,1,0,1,0,1,2,1,1,1,1,1,1,1
Actress,Bombshell,Charlize Theron,,2020,6.8,2020-01-09,84,70,3,1,0,0,0,1,0,0,0,1,0,0,0,2,1,1,1,0,1975,45,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,1,0,0,1,0,0,1,1,0,0,1,1,0,0,1,1,2,2,2,1,1,1,1,2
Actress,Judy,Renée Zellweger,,2020,7.0,2020-01-09,85,82,2,1,0,0,0,1,1,0,0,1,1,0,0,3,1,1,1,0,1969,51,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,,0,1,0,0,0,1,0,0,1,0,1,0,1,1,0,1,0,1,2,2,1,1,2,1,1,3
