Category,Film,Nominee,Year,Winner,Rating_IMDB,Release_date,Rating_rtaudience,Rating_rtcritic,Oscarstat_totalnoms,Release_Q1,Release_Q2,Release_Q3,Release_Q4,Nom_BAFTA,Win_BAFTA,Nom_GoldenGlobe_comedy-leadacting,Win_GoldenGlobe_comedy-leadacting,Nom_GoldenGlobe_drama-leadacting,Win_GoldenGlobe_drama-leadacting,Nom_GoldenGlobe_supportingacting,Win_GoldenGlobe_supportingacting,Oscarstat_previousnominations_acting,Oscarstat_previouswins_acting,Oscarstat_previousnominee_acting,Oscarstat_previouswinner_acting,Nom_Oscar_bestfilm,Birthyear,Age,Age_[0-25],Age_[25-35],Age_[35-45],Age_[45-55],Age_[55-65],Age_[65-75] ,Age_[75+] ,Genre_action,Genre_adventure,Genre_biography,Genre_crime,Genre_comedy,Genre_drama,Genre_horror,Genre_fantasy,Genre_sci-fi,Genre_mystery,Genre_music,Genre_romance,Genre_history,Genre_thriller,Genre_war,Genre_sport,Genre_family,Genre_filmnoir,Genre_western,MPAA_rating,MPAA_G,MPAA_PG,MPAA_PG-13,MPAA_R,MPAA_NC-17,Nowin_Criticschoice,Win_Criticschoice,Nonom_Criticschoice,Nom_Criticschoice,Nowin_SAG_acting,Win_SAG_acting,Nonom_SAG_acting,Nom_SAG_acting,Nowin_SAG_bestcast,Win_SAG_bestcast,Nonom_SAG_bestcast,Nom_SAG_bestcast,Female
Actor,Sound of Metal,Riz Ahmed,2021,,7.8,04 Dec 2020,91,97,6,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1982,39,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,R,0,0,0,1,0,1,0,0,1,1,0,0,1,1,0,1,0,0
Actor,Ma Rainey's Black Bottom,Chadwick Boseman,2021,,7,18 Dec 2020,74,98,5,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1976,45,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,R,0,0,0,1,0,0,1,0,1,0,1,0,1,1,0,0,1,0
Actor,The Father,Anthony Hopkins,2021,,8.3,23 Dec 2020,90,98,6,0,0,0,1,1,1,0,0,1,0,0,0,5,1,1,1,1,1937,84,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,PG-13,0,0,1,0,0,1,0,0,1,1,0,0,1,1,0,1,0,0
Actor,Mank,Gary Oldman,2021,,7,04 Dec 2020,60,83,10,0,0,0,1,0,0,0,0,1,0,0,0,2,1,1,1,1,1958,63,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,R,0,0,0,1,0,1,0,0,1,1,0,0,1,1,0,1,0,0
Actor,Minari,Steven Yeun,2021,,7.6,11 Dec 2020,88,98,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1983,38,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,PG-13,0,0,1,0,0,1,0,0,1,1,0,0,1,1,0,0,1,0
Actress,Ma Rainey's Black Bottom,Viola Davis,2021,,7,18 Dec 2020,74,98,5,0,0,0,1,0,0,0,0,1,0,0,0,3,1,1,1,0,1965,56,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,R,0,0,0,1,0,1,0,0,1,0,1,0,1,1,0,0,1,1
Actress,The United States vs. Billie Holiday,Andra Day,2021,,6.3,26 Feb 2021,85,54,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1984,37,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,TV-MA,0,0,0,0,0,1,0,0,1,1,0,1,0,1,0,1,0,1
Actress,Pieces of a Woman,Vanessa Kirby,2021,,7.1,07 Jan 2021,85,75,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1988,33,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,R,0,0,0,1,0,1,0,0,1,1,0,0,1,1,0,1,0,1
Actress,Nomadland,Frances McDormand,2021,,7.5,2021,82,94,6,1,0,0,0,1,1,0,0,1,0,0,0,5,2,1,1,1,1957,64,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,R,0,0,0,1,0,1,0,0,1,1,0,0,1,1,0,1,0,1
Actress,Promising Young Woman,Carey Mulligan,2021,,7.5,25 Dec 2020,88,91,5,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,1985,36,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,R,0,0,0,1,0,0,1,0,1,1,0,0,1,1,0,1,0,1
