Category,Film,Nominee,Winner,Year,Birthyear,Oscarstat_previousnominations_acting,Oscarstat_previouswins_acting,Oscarstat_previousnominee_acting,Oscarstat_previouswinner_acting,Age,Age_[0-25],Age_[25-35],Age_[35-45],Age_[45-55],Age_[55-65],Age_[65-75],Age_[75+],Female,Rating_IMDB,Release_date,MPAA_rating,Rating_rtcritic,Rating_rtaudience,Genre_action,Genre_adventure,Genre_biography,Genre_crime,Genre_comedy,Genre_drama,Genre_horror,Genre_fantasy,Genre_sci-fi,Genre_mystery,Genre_music,Genre_romance,Genre_history,Genre_war,Genre_filmnoir,Genre_thriller,Genre_family,Genre_sport,Genre_western,MPAA_G,MPAA_PG,MPAA_PG-13,MPAA_R,MPAA_NC-17,Release_Q1,Release_Q2,Release_Q3,Release_Q4,Oscarstat_totalnoms,Nom_Oscar_bestfilm,Nom_Criticschoice,Nonom_Criticschoice,Win_Criticschoice,Nowin_Criticschoice,Nom_SAG_acting,Nonom_SAG_acting,Win_SAG_acting,Nowin_SAG_acting,Nom_SAG_bestcast,Nonom_SAG_bestcast,Win_SAG_bestcast,Nowin_SAG_bestcast,Nom_GoldenGlobe_comedy-leadacting,Win_GoldenGlobe_comedy-leadacting,Nom_GoldenGlobe_drama-leadacting,Win_GoldenGlobe_drama-leadacting,Nom_GoldenGlobe_supportingacting,Win_GoldenGlobe_supportingacting,Nom_BAFTA,Win_BAFTA
Actor,Elvis,Austin Butler,0,2023,1991,0,0,0,0,32,0,1,0,0,0,0,0,0,7.3,2022-06-24,PG-13,77,94,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,8,1,1,0,0,1,1,0,0,1,0,1,0,1,0,0,1,1,,,1,1
Actor,The Banshees of Inisherin,Colin Farrell,0,2023,1976,0,0,0,0,47,0,0,0,1,0,0,0,0,7.7,2022-11-04,R,96,75,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,9,1,1,0,0,1,1,0,0,1,1,0,0,1,1,1,0,0,,,1,0
Actor,Aftersun,Paul Mescal,0,2023,1996,0,0,0,0,27,0,1,0,0,0,0,0,0,7.6,2022-11-18,R,95,81,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,,,1,0
Actor,The Whale,Brendan Fraser,1,2023,1968,0,0,0,0,55,0,0,0,1,0,0,0,0,7.6,2022-12-21,R,64,91,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3,0,1,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,,,1,0
Actor,Living,Bill Nighy,0,2023,1949,0,0,0,0,74,0,0,0,0,0,1,0,0,7.2,2022-11-04,PG-13,96,91,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,0,1,0,0,1,1,0,0,1,0,1,0,1,0,0,1,0,,,1,0
Actress,Tár,Cate Blanchett,0,2023,1969,7,2,1,1,54,0,0,0,1,0,0,0,1,7.4,2022-10-28,R,91,74,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,6,1,1,0,1,0,1,0,0,1,0,1,0,1,0,0,1,1,,,1,1
Actress,Blonde,Ana de Armas,0,2023,1988,0,0,0,0,35,0,1,0,0,0,0,0,1,5.5,2022-09-28,NC-17,42,36,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,1,0,0,1,0,1,0,1,0,0,1,0,,,1,0
Actress,To Leslie,Andrea Riseborough,0,2023,1981,0,0,0,0,42,0,0,1,0,0,0,0,1,7.1,2022-10-07,R,93,86,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,,,0,0
Actress,The Fabelmans,Michelle Williams,0,2023,1980,4,0,1,0,43,0,0,1,0,0,0,0,1,7.5,2022-11-23,PG-13,92,83,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,7,1,1,0,0,1,0,1,0,1,1,0,0,1,0,0,1,0,,,0,0
Actress,Everything Everywhere All at Once,Michelle Yeoh,1,2023,1962,0,0,0,0,61,0,0,0,0,1,0,0,1,7.8,2022-04-08,R,94,79,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,11,1,1,0,0,1,1,0,1,0,1,0,1,0,1,1,0,0,,,1,0
