Category,Film,Nominee,Winner,Year,Rating_IMDB,Release_date,Rating_rtcritic,Rating_rtaudience,Genre_biography,Genre_crime,Genre_comedy,Genre_drama,Genre_horror,Genre_fantasy,Genre_sci-fi,Genre_mystery,Genre_music,Genre_romance,Genre_action,Genre_history,Genre_war,Genre_filmnoir,Genre_thriller,Genre_adventure,Genre_family,Genre_sport,Genre_western,MPAA_rating,MPAA_G,MPAA_PG,MPAA_PG-13,MPAA_R,MPAA_NC-17,Release_Q1,Release_Q2,Release_Q3,Release_Q4,Oscarstat_totalnoms,Nom_Oscar_bestdirector,Nom_PGA,Nonom_PGA,Win_PGA,Nowin_PGA,Nom_Criticschoice,Nonom_Criticschoice,Win_Criticschoice,Nowin_Criticschoice,Nom_SAG_bestcast,Nonom_SAG_bestcast,Win_SAG_bestcast,Nowin_SAG_bestcast,Nom_GoldenGlobe_bestdrama,Nom_GoldenGlobe_bestcomedy,Win_GoldenGlobe_bestdrama,Win_GoldenGlobe_bestcomedy,Nom_BAFTA,Win_BAFTA,Nom_DGA,Win_DGA
Picture,All Quiet on the Western Front,All Quiet on the Western Front,0,2023,8.1,1930-08-24,90,90,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,PG-13,0,0,0,0,0,0,0,1,0,9,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,1,1,0,0
Picture,Avatar: The Way of Water,Avatar: The Way of Water,0,2023,7.5,2022-12-16,76,92,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,PG-13,0,0,1,0,0,0,0,0,1,4,0,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0
Picture,The Banshees of Inisherin,The Banshees of Inisherin,0,2023,7.7,2022-11-04,96,75,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R,0,0,0,1,0,0,0,0,1,9,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,1,1,0,1,0
Picture,Elvis,Elvis,0,2023,7.3,2022-06-24,77,94,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,PG-13,0,0,1,0,0,0,1,0,0,8,0,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,0,1,0,0,0
Picture,Everything Everywhere All at Once,Everything Everywhere All at Once,1,2023,7.8,2022-04-08,94,79,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,R,0,0,0,1,0,0,1,0,0,11,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,1,1
Picture,The Fabelmans,The Fabelmans,0,2023,7.5,2022-11-23,92,83,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PG-13,0,0,1,0,0,0,0,0,1,7,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,0,0,1,0
Picture,Tár,Tár,0,2023,7.4,2022-10-28,91,74,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,R,0,0,0,1,0,0,0,0,1,6,1,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,0,1,0,1,0
Picture,Top Gun: Maverick,Top Gun: Maverick,0,2023,8.2,2022-05-27,96,99,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,PG-13,0,0,1,0,0,0,1,0,0,6,0,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,0,0,0,1,0
Picture,Triangle of Sadness,Triangle of Sadness,0,2023,7.3,2022-09-18,71,80,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R,0,0,0,1,0,0,0,1,0,3,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0
Picture,Women Talking,Women Talking,0,2023,6.9,2023-01-27,90,80,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PG-13,0,0,1,0,0,1,0,0,0,2,0,0,1,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0
