Category,Film,Nominee,Winner,Year,Rating_IMDB,Release_date,Rating_rtaudience,Rating_rtcritic,Oscarstat_totalnoms,Release_Q1,Release_Q2,Release_Q3,Release_Q4,Nom_Oscar_bestdirector,Nom_DGA,Nom_BAFTA,Win_DGA,Win_BAFTA,Nom_GoldenGlobe_bestcomedy,Nom_GoldenGlobe_bestdrama,Win_GoldenGlobe_bestcomedy,Win_GoldenGlobe_bestdrama,Genre_action,Genre_biography,Genre_crime,Genre_comedy,Genre_drama,Genre_horror,Genre_fantasy,Genre_sci-fi,Genre_mystery,Genre_music,Genre_romance,Genre_history,Genre_war,Genre_filmnoir,Genre_thriller,Genre_adventure,Genre_family,Genre_sport,Genre_western,MPAA_rating,MPAA_G,MPAA_PG,MPAA_PG-13,MPAA_R,MPAA_NC-17,Nowin_Criticschoice,Win_Criticschoice,Nonom_Criticschoice,Nom_Criticschoice,Nowin_SAG_bestcast,Win_SAG_bestcast,Nonom_SAG_bestcast,Nom_SAG_bestcast,Nowin_PGA,Win_PGA,Nonom_PGA,Nom_PGA
Picture,The Apartment,The Apartment,1,1961,8.3,1960-09-16,94,93,10,0,0,1,0,1,1,1,1,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,APPROVED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Picture,The Alamo,The Alamo,0,1961,6.9,1960-10-24,64,50,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,UNRATED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Picture,Elmer Gantry,Elmer Gantry,0,1961,7.9,1960-07,86,96,5,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,APPROVED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Picture,Sons and Lovers,Sons and Lovers,0,1961,7.3,1960-07-22,54,75,7,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Picture,The Sundowners,The Sundowners,0,1961,7.2,1961-02-28,62,78,5,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,UNRATED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Picture,West Side Story,West Side Story,1,1962,7.6,1961-12-23,84,94,11,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,UNRATED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Picture,Fanny,Fanny,0,1962,7.1,1961-06-28,94,100,5,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Picture,The Guns of Navarone,The Guns of Navarone,0,1962,7.6,1961-06-22,86,95,7,0,1,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Picture,The Hustler,The Hustler,0,1962,8,1961-10-27,93,98,9,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,UNRATED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Picture,Judgment at Nuremberg,Judgment at Nuremberg,0,1962,8.3,1961-12-18,93,90,11,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,NOT RATED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
