Variable,Picture,Director,Lead Acting,Supporting Acting
Age_[0-25],,,1,1
Age_[25-35],,,1,1
Age_[35-45],,,1,1
Age_[45-55],,,1,1
Age_[55-65],,,1,1
Age_[65-75] ,,,1,1
Age_[75+] ,,,1,1
Genre_crime,1,1,1,1
Genre_action,1,1,1,1
Genre_adventure,1,1,1,1
Genre_biography,1,1,1,1
Genre_comedy,1,1,1,1
Genre_drama,1,1,1,1
Genre_family,1,1,1,1
Genre_fantasy,1,1,1,1
Genre_history,1,1,1,1
Genre_horror,1,1,1,1
Genre_music,1,1,1,1
Genre_mystery,1,1,1,1
Genre_romance,1,1,1,1
Genre_sci-fi,1,1,1,1
Genre_sport,1,1,1,1
Genre_thriller,1,1,1,1
Genre_war,1,1,1,1
Genre_western,1,1,1,1
MPAA_G,1,1,1,1
MPAA_PG,1,1,1,1
MPAA_PG-13,1,1,1,1
MPAA_R,1,1,1,1
Nom_BAFTA,1,1,1,1
Nom_Criticschoice,1,1,1,1
Nom_DGA,1,1,,
Nom_GoldenGlobe_bestcomedy,1,,,
Nom_GoldenGlobe_bestdirector,,1,,
Nom_GoldenGlobe_bestdrama,1,,,
Nom_GoldenGlobe_comedy-leadacting,,,1,
Nom_GoldenGlobe_drama-leadacting,,,1,
Nom_GoldenGlobe_supportingacting,,,,1
Nom_Oscar_bestdirector,1,,,
Nom_Oscar_bestfilm,,1,1,1
Nom_PGA,1,,,
Nom_SAG_acting,1,,1,1
Nom_SAG_bestcast,,,1,1
Nonom_Criticschoice,1,1,1,1
Nonom_PGA,1,,,
Nonom_SAG_acting,1,,1,1
Nonom_SAG_bestcast,,,1,1
Nowin_Criticschoice,1,1,1,1
Nowin_PGA,1,,,
Nowin_SAG_acting,1,,1,1
Nowin_SAG_bestcast,,,1,1
Oscarstat_previousnominations_acting,,,1,1
Oscarstat_previousnominations_bestdirector,,1,,
Oscarstat_previousnominee_acting,,,1,1
Oscarstat_previouswinner_acting,,,1,1
Oscarstat_previouswins_acting,,,1,1
Oscarstat_previouswins_bestdirector,,1,,
Oscarstat_totalnoms,1,1,1,1
Rating_IMDB,1,1,1,1
Rating_rtaudience,1,1,1,1
Rating_rtcritic,1,1,1,1
Release_Q1,1,1,1,1
Release_Q2,1,1,1,1
Release_Q3,1,1,1,1
Release_Q4,1,1,1,1
Win_BAFTA,1,1,1,1
Win_Criticschoice,1,1,1,1
Win_DGA,1,1,,
Win_GoldenGlobe_bestcomedy,1,,,
Win_GoldenGlobe_bestdirector,,1,,
Win_GoldenGlobe_bestdrama,1,,,
Win_GoldenGlobe_comedy-leadacting,,,1,
Win_GoldenGlobe_drama-leadacting,,,1,
Win_GoldenGlobe_supportingacting,,,,1
Win_PGA,1,,,
Win_SAG_acting,1,,1,1
Win_SAG_bestcast,,,1,1
